Movie Name,Comedy,Action,Romance,Scifi,Drama,Horror,Mystery,Thriller,Biography
dr strange,0.3,0.8,0.1,0.5,,,,,
arrival,0,0.2,0.1,0.9,,,,,
mist,0,0.5,0,0.9,,,,,
hell boy,0.2,0.8,0.5,1,,,,,
autopsy of jane doe,0,0.7,0.1,0.4,,,,,
lucy,0,0.7,0,0.9,,,,,
cabin in the woods,0.5,0.8,0.2,0.9,,,,,
the thing,0,0.8,0,0.9,,,,,
her,0.3,0,0.7,0.9,,,,,
interstellar,0.1,0,0.5,1,,,,,
rick and morty,0.8,0.8,0,1,,,,,
monty python and the holy grail,1,0.8,0,0,,,,,
corpse bride,0.2,0.4,0.7,0,,,,,
sherlock holmes bbc series,0.8,0.9,0.4,0.5,,,,,
gravity,0.1,0.1,0.1,1,,,,,
timeless tv series,0.4,0.8,0.7,1,,,,,
keibuho yabe kenzo,1,0.8,0.2,0,,,,,
mission impossible,0.3,1,0.6,0.7,,,,,
all esper dayo,1,0.5,0.6,0.8,,,,,
border,0,0.8,0.1,0.6,,,,,
independence day resurgence,0.2,0.9,0.2,1,,,,,
tomorrowland,0.5,0.7,0.3,1,,,,,
assassins creed,0.1,0.9,0.4,0.9,,,,,
leap,0.6,0.4,0.9,0.3,,,,,
miss peregrine's home for peculiar children,0.4,0.8,0.3,1,,,,,
guardians of the galaxy,0.8,0.9,0.7,1,,,,,
prince of persia the sands of time,0.3,0.8,0.7,0.4,,,,,
the chronicles of riddick,0,0.9,0.1,0.8,,,,,
donot be afraid of the dark,0,0.6,0.1,0.1,,,,,
cloud atlas,0,0.7,0.9,1,,,,,
silicon valley,0.7,0.2,0.1,0.5,,,,,
the secret life of walter mitty,0.7,0.3,0.4,0.5,,,,,
life in a day,0.1,0,0.1,0,,,,,
edge of tomorrow,0.5,0.9,0.6,1,,,,,
house of cards,0,0.3,0.1,0.3,,,,,
the amazing spiderman 2,0.4,0.9,0.7,0.9,,,,,
alice through the looking glass,0.3,0.8,0.1,0.9,,,,,
shingeki no kyojin,0,0.9,0.4,0.9,,,,,
kizumonogatari,0.7,0.8,0.8,0.3,,,,,
howls moving castle,0.3,0.6,0.7,0.4,,,,,
liar game,0.7,0.3,0.4,0,,,,,
parasyte,0.1,0.8,0.5,1,,,,,
fate grand order first order,0.4,0.8,0.4,1,,,,,
fate unlimited blade works,0.1,0.9,0.3,0.8,,,,,
fullmetal alchemist - the sacred star of milos,0.7,1,0.5,0.9,,,,,
aldnoah zero,0.2,1,0.8,1,,,,,
youjo senki,0.1,1,0.1,1,,,,,
shingeki no bahamut,0.9,1,0.9,0.6,,,,,
tokyo ghoul,0,1,0.4,1,,,,,
october sky,0.5,0.4,0.5,0.4,0.5,,,,
back to the future,0.8,0.6,0.4,0.8,0.5,,,,
imitation game,0.3,0.3,0.4,0.3,0.5,,,,
office space,0.8,0.4,0.4,0.1,0.6,,,,
the boy next door,0.3,0.4,0.7,0.1,0.6,,,,
the first time,0.4,0.4,0.7,0.1,0.6,,,,
the lake house,0.4,0.4,0.6,0.1,0.7,,,,
the pursuit of happiness,0.6,0.3,0.2,0,0.8,,,,
the longest ride,0.4,0.5,0.7,0.1,0.7,,,,
vanilla sky,0.5,0.3,0.7,0.1,0.7,,,,
paper towns,0.4,0.2,0.6,0.1,0.7,,,,
the fault in our stars,0.4,0.4,0.7,0.1,0.7,,,,
beautiful creatures,0.3,0.4,0.7,0.7,0.7,,,,
the machinist,0.3,0.4,0.5,0.2,0.8,,,,
star wars,0.4,0.6,0.3,0.8,0.2,,,,
the matrix,0.3,0.8,0.3,0.8,0.2,,,,
limitless,0.3,0.4,0.3,0.7,0.4,,,,
power rangers,0.3,0.8,0.3,0.8,0.4,,,,
the hangover ,0.8,0.1,0.3,0,,,,,
shaun of the dead,0.9,0.1,0.5,0.1,,,,,
coherence ,0.1,0,0.1,0.7,,,,0.8,
inception,0.1,0.7,0.3,0.7,,,,,
the notebook ,0.3,0.1,0.8,0,,,,,
titanic ,0.3,0.4,0.8,0.1,,,,,
a walk to remember ,0.1,0.1,0.8,,,,,,
the proposal,0.3,0.1,0.7,0,,,,,
love actually ,0.6,0,0.8,0,,,,,
superbad,0.8,0.1,0.2,0,,,,,
the fate of the furious,0.3,0.8,0.3,0.2,,,,,
the internship,0.8,0.1,0.2,0,,,,,
suicide squad,0,0.8,0.1,0.5,,,,,
the dark knight ,0.1,0.9,0,0.5,,,,,
batman v superman: dawan of justice,0,0.9,0,0.8,,,,,
skyfall,0,0.8,0.1,0.3,,,,,
the void ,0,0.3,0.1,0.7,,,,,
rogue one ,0,0.8,0,0.8,,,,,
passengers,0.2,0.2,0.7,0.3,,,,,
the bad batch,0.1,0,0.7,0.7,,,,,
colossal,0.7,0.8,0,0.7,,,,,
dead pool,0.7,0.8,0,0.4,,,,,
unbreakable,0.3,0.4,0.2,0.7,,,,,
moster trucks,0.7,0.8,0,0.2,,,,,
amd max: fury road,0,0.8,0,0.8,,,,,
the space between us,0,0,0.7,0,0.8,,,,
the prestige ,0,0.3,0.2,0.8,,,,,
the hunger games,0,0.5,0,0.8,,,,,
divergent,0,0.4,0,0.8,,,,,
despicable me 3 ,0,0.7,0,0.2,,,,,
allegiant,0,0.8,0,0.4,,,,,
the discovery,0,0.1,0.8,0.8,,,,,